object file;KBDB_SOCK_UPD;CheckResourceHandling;KWLEF.statNPD;statNPD;TaintedString.ABV_NNTS;KBDB_SOCK_UPD_KB;RNC;KWLEF.generated kb dump;RegistryManipulation;NPD;LA_UNUSED;REPCXX.prep_and_parser;TaintedIntWarnings;TaintedString;clef.kbDump;TaintedStringKB;mir checksum;CONCKB;UsageRulesChecker;UNUSED.FUNC;LS;KWLEF.MAIN;TaintedDeref.SINKKB;USAGE_RULES_FOR_CALLS;CheckReturnValueIsTested;REPCXX.XPath;TaintedString.SOURCEKB;clef.processing_file;restore mir;DBZ;REPCXX.call_graph;Concurrency;FREE;KBDB_SOCK_UPD_KB_RECV;HashNoSalt;BindFunctionCheck;mir_function_finalize;CheckInconsistentLabels;LINKER.ReadingObjects;CWARN.NOEFFECT.TREE;ByteOrderConversionChecker;RNPD;recv_cached_data;ast_to_mir converter;RegistryManipulationPATH;DEADCODE;TaintedAlloc.SINKKB;CheckIterator;KBDB_SOCK_UPD_HASH;ABVKB;WRITEKB;UMR;SECURITY;MLK;orderFunctionNodes;REPCXX.lef_init;TaintedDerefKB;RDT;INF_LOOP;KBDB_SOCK_GET_KB;REPCXX.checkers;NPDKB;KBDB_SOCK_UPD_DEFECTS;KBDB_CACHE_WRITE;MemberInitializersOrder;NPD.SRC;GENERAL_KB;KBDB_SOCK_GET;mir save;CACHE_SOCK_GET;TaintedAllocKB;TaintedString.PROPKB;PortingStorageStruct;LINKER.Linking;CheckStringParameter;REPCXX.lef_finalize;TaintedAlloc.SOURCEKB;READKB;RETURN;AnalyzeModifiedGlobals;SizeAssignCheck;TaintedIntWarningsKB;TaintedAlloc;PortingVarEffects;FREEKB;mir_function_init;CheckLocAddrRet;REPCXX.MIR_related;ALLOCKB.XMRF;ASSIGCOND;NUM_OVERFLOW;EFFECT;MallocSizeofPointer;PreConditionChecker;KBDB_CACHE_READ;ALLOCKB.ALLOC;TaintedDeref;HardcodedCredentials;ByteOrderConversionKBGenerator;KBDB_SOCK_UPD_KB_SYNC;RCA;REPCXX.sema_and_rdt;preprocessing;KWLEF.analysis loop;KWLEF.M1SOCK_OUTER;UNUSEDVAR;ALLOCKB;CLASSLEVEL;FormatString;rhReleaseKB;KWLEF.M2SOCK_INNER;KBDB_SOCK_UPD_KB_DBREAD;UNUSEDVALUE;KWLEF.finalizing cache;KBDB_SOCK_UPD_KB_DBWRITE;clef.kbDumpSocket;REPCXX.metrics;TaintedString.SINKKB;clef.kbDInit;StrongTypeCheck;TaintedIntWarnings.SINKKB;parsing;SEMICOL;SpecExecChecker;KBDB_SOCK_GET_ENT;LINKER.InitializationInv;
null;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.031;40.121;0.046
AboutDlg.cpp_127.o;16.199;12.026;3.883;1.485;1.485;0.009;0.945;0.007;0.063;0.001;0.007;0.003;0.008;0.037;0.014;0.000;0.137;0.000;0.063;0.424;0.055;1.079;2.317;0.836;0.088;0.449;0.059;0.001;0.170;0.505;3.977;0.171;0.046;0.031;0.062;0.046;0.031;0.046;0.031;0.124;0.031;0.093;0.046;0.062;0.015;0.062;0.468;0.640;0.031;0.078;0.359;0.124;0.046;0.234;0.046;0.031;0.015;0.015;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
AboutDlg.cpp_250.o;7.560;5.467;1.921;0.796;0.796;0.000;0.859;0.000;0.046;0.000;0.046;0.015;0.000;0.046;0.015;0.015;0.062;0.000;0.046;0.453;0.000;0.656;1.171;0.406;0.046;0.249;0.031;0.015;0.124;0.281;5.623;0.249;0.015;0.031;0.015;0.078;0.031;0.031;0.000;0.171;0.000;0.062;0.078;0.015;0.015;0.062;0.499;0.749;0.031;0.062;0.281;0.156;0.078;0.343;0.062;0.062;0.000;0.046;0.109;0.015;0.015;0.015;0.078;0.015;0.109;0.062;0.015;0.406;0.421;0.015;0.078;0.015;0.015;0.015;0.015;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
AboutDlg.cpp_4.o;8.796;6.568;2.082;0.927;0.927;0.010;0.807;0.010;0.020;0.001;0.042;0.000;0.002;0.025;0.017;0.000;0.067;0.000;0.041;0.401;0.029;0.684;1.189;0.423;0.039;0.220;0.022;0.000;0.090;0.312;1.765;0.062;0.015;0.015;0.015;0.000;0.078;0.031;0.000;0.015;0.031;0.046;0.031;0.015;0.015;0.046;0.187;0.249;0.015;0.031;0.062;0.015;0.031;0.109;0.015;0.000;0.000;0.000;0.000;0.015;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.012;0.000;0.031;0.031;0.015;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
AutoCompletion.cpp_129.o;17.352;12.395;4.637;2.031;2.031;0.013;2.369;0.044;0.075;0.010;0.123;0.005;0.017;0.070;0.059;0.000;0.188;0.002;0.149;1.374;0.022;1.458;5.492;1.580;0.360;1.015;0.078;0.010;0.175;0.484;12.904;1.190;0.241;0.163;0.680;0.152;0.124;0.171;0.031;1.056;0.093;0.635;0.146;0.109;0.111;0.303;0.890;0.937;0.062;0.187;1.399;0.892;0.097;0.484;0.109;0.227;0.000;0.211;0.000;0.078;0.062;0.093;0.000;0.015;0.000;0.000;0.000;0.000;0.000;0.164;0.000;0.082;0.000;0.000;0.000;0.000;0.000;0.000;0.046;0.078;0.000;0.046;0.046;0.031;0.033;0.032;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
AutoCompletion.cpp_252.o;9.091;6.107;2.827;1.031;1.031;0.000;1.218;0.000;0.046;0.000;0.046;0.031;0.000;0.031;0.000;0.000;0.046;0.000;0.015;0.812;0.031;0.843;3.312;0.968;0.234;0.640;0.062;0.000;0.140;0.296;22.605;1.374;0.343;0.171;0.874;0.296;0.281;0.140;0.015;1.171;0.000;0.562;0.124;0.093;0.109;0.265;0.874;1.499;0.109;0.140;1.452;1.015;0.109;0.484;0.109;0.187;0.000;0.156;1.749;0.015;0.078;0.046;0.812;0.031;0.624;0.265;0.015;2.546;1.577;0.156;0.812;0.031;0.031;0.140;0.140;0.000;0.000;0.000;0.031;0.031;0.046;0.031;0.031;0.031;0.000;0.000;0.015;0.015;0.015;0.015;0.015;0.031;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
AutoCompletion.cpp_6.o;8.791;5.837;2.812;1.089;1.089;0.011;1.147;0.017;0.021;0.007;0.056;0.003;0.010;0.050;0.025;0.005;0.118;0.000;0.024;0.648;0.007;0.855;3.045;0.847;0.232;0.544;0.040;0.000;0.090;0.261;6.154;0.203;0.124;0.015;0.093;0.078;0.203;0.046;0.015;0.187;0.015;0.156;0.046;0.109;0.046;0.093;0.468;0.843;0.078;0.078;0.390;0.156;0.046;0.343;0.031;0.109;0.000;0.109;0.000;0.031;0.031;0.015;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.031;0.000;0.031;0.000;0.000;0.000;0.003;0.000;0.000;0.046;0.031;0.015;0.000;0.015;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
BabyGrid.cpp_132.o;13.490;9.691;3.491;1.479;1.479;0.012;1.497;0.032;0.079;0.000;0.061;0.006;0.004;0.052;0.023;0.001;0.096;0.001;0.097;0.761;0.022;1.271;2.040;0.652;0.142;0.485;0.039;0.008;0.173;0.378;6.154;0.140;0.015;0.015;0.015;0.062;0.046;0.078;0.609;0.078;0.046;3.233;0.109;0.093;0.000;0.078;0.171;0.218;0.062;0.015;0.328;0.031;0.093;0.109;0.031;0.062;0.000;0.046;0.000;0.031;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.046;0.000;0.015;0.015;0.000;0.000;0.000;0.002;0.005;0.000;0.015;0.000;0.000;0.046;0.000;0.015;0.000;0.000;0.007;0.000;0.000;0.000;0.000;0.001;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
BabyGrid.cpp_255.o;6.623;4.389;2.046;0.921;0.921;0.015;0.999;0.000;0.062;0.000;0.062;0.015;0.015;0.078;0.031;0.015;0.015;0.000;0.015;0.531;0.015;0.779;1.218;0.328;0.093;0.359;0.031;0.000;0.109;0.312;8.279;0.203;0.000;0.000;0.015;0.031;0.062;0.062;0.734;0.078;0.031;3.374;0.109;0.078;0.062;0.124;0.171;0.249;0.031;0.015;0.249;0.046;0.093;0.156;0.031;0.062;0.000;0.062;0.593;0.046;0.000;0.000;0.000;0.000;0.171;0.093;0.015;0.218;0.078;0.015;0.000;0.015;0.000;0.109;0.109;0.000;0.031;0.000;0.000;0.000;0.000;0.000;0.015;0.031;0.015;0.000;0.000;0.000;0.015;0.000;0.031;0.000;0.000;0.015;0.031;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
BabyGrid.cpp_9.o;6.816;4.576;2.087;0.734;0.734;0.014;0.853;0.003;0.067;0.000;0.042;0.014;0.007;0.033;0.016;0.000;0.129;0.000;0.064;0.333;0.013;0.676;1.227;0.392;0.130;0.302;0.018;0.003;0.090;0.311;6.498;0.187;0.062;0.000;0.015;0.015;0.124;0.046;0.577;0.078;0.046;3.452;0.109;0.109;0.031;0.140;0.187;0.203;0.062;0.015;0.249;0.046;0.093;0.124;0.046;0.031;0.000;0.031;0.000;0.015;0.015;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.031;0.000;0.031;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.015;0.015;0.015;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
